number,name,rating,translated_text
44,sharon low,5,Staffs were very friendly and very efficient in service
45,Lim Jia Jia,5,"Staff is friendly and food is served hastily. Has free wifi, got air cond, very nice japanese wood hut vibe! Food price is reasonable for it's amount and quality"
46,Zex0419,5,"The tonkotsu ramen tastes good, the soup is rich and sweet, and the grilled fish is also very delicious.The test level and saltiness are just right."
47,Choon Meng Ho,1,"I was very disappointed to see a cockroach on our table while dining. It made the experience uncomfortable.

This raised serious concerns about the cleanliness of the restaurant. I informed the staff, but I didn’t see any immediate action taken."
48,ericchoo,4,"Food is nice above average.
But the wasapi can't make it, Thai green seafood souce match perfectly with Jap food remember."
49,Tay yee en Paris,5,Happy birthday Joey
50,EL Wardrobe,5,Happy birthday joey
51,Jason Tan,5,Happy birthday Joey
52,Tan Chee Kiong,5,"Happy Birthday, Joey"
53,vy teng,5,Happy birthday Joey
54,YOLO,5,"KSB, Melaka. Not bad. Worth coming back."
55,Katherine Yong,5,Good service and great food!
56,yen fen,5,Happy birthday joey
57,Chinkiat Yong,5,Happy birthday joey
58,Michaelim81 Lim,5,Nice food and good service
59,lee jane,5,"My son’s favorite Japanese food...It is also his designated store.
The food is good and suitable for the whole family."
60,Jarod Quek Yeung Shern,5,Good environment and food is good
61,ah di,5,"I enjoyed the food, the atmosphere was perfect for a meet up!"
62,Jan Ng,5,Excellent！！！
63,Cherryykx,5,Good food good environment
64,Jeanne C,5,"Very nice environment,food serve freshly and big portion,staff very polite,serve customers well, overall quite satisfied with everything.a good place to have a lunch here too as they do serve met menu......"
65,Ng Szewei,5,Really love the food
66,Yun Yew Yong,5,Good Japanese food in Melaka!
67,素芳（小妹）,5,Very delicious!The garlic chicken set is very delicious😋the service is also very good❤️
68,Steffie Chan,5,"Good service, good food!"
69,Yuan Bin Chai,5,"Food is delicious, survice is good"
70,levin tai,5,"Nice delicious, service so good, friendly"
71,James Ong,5,Good taste
72,Geg Nny See,5,"Nice place, nice food and good service"
73,G K,5,The food is delicious and the staff is very polite❤️
74,aaron tan,5,Good food at a good price
75,Yee Wen,5,"An affordable Japanese restaurant in Malacca. The dishes are diverse, the portions are generous, and the taste is very good.A Japanese restaurant suitable for families to enjoy."
76,Shau Y Tan,5,Nice food & excellent service 👍🏻👍🏻👍🏻 definitely will come back
77,WIS WAN,5,Good tasty
78,Teck huay Chin,5,Good service n food.
79,Tee Eng Tiong,5,Good food good service
80,Brandon Liew,5,Food is good and service is good as well
81,PeiQing Tan,5,The food is delicious 😋
82,GOH MEI HUI,2,"The buffet is very poor. There are many choices on the menu, but when you get there, it's only half of the menu or less. The sashimi is thin and the only thing you can eat is grilled scallop. There's nothing you want to eat."
83,V beauty Venner,5,Very good
84,Joanne Tan,5,Nice food and place
85,Sk Lim,5,The food is fresh and delicious. The environment is good and comfortable. The service attitude is good.
86,Mei Khoo,5,Good
87,sy soh,5,"Delicious food, good service, food come fast👍🏻"
88,YongKeng Tan,5,very good
89,ycs ycs,5,Good 👍
90,Jo Seah,5,Excellent Food. Superb Service. Highly recommended.
91,Mai QN,5,Food and atmosphere is good!
92,Tc Wong,5,Very nice
93,Jiunn Tan,5,"Nice environment, nice food"
94,林雯瑄,5,Delicious. Very good service.
95,jiawei tai,5,"good
service good"
96,Hui Xuan Yong,5,Very delicious 😋
97,ng zhenming,5,"good services, nice food and good atmosphere, affordable price."
98,Chen Hui,5,"Food here is good , ingredients is fresh! Highly recommended"
99,Lichun Ea,5,"First try here. Have a nice experience and received a friendly explanation & recommendation by the little cute short hair lady staff. Overall food are very nice and tasteful, especially the full vegetable sushi.. Will come back again for sure.."
100,Shyenshyen,5,Highly recommended
101,TENG TZE MIN,5,Very nice food and environment.
102,麻辣bunny 0o0,5,nice serving
103,Cherrie Chan,5,Great Japanese food with super friendly staff.
104,YAP KOK SHENG,5,Very delicious sushi 👍
105,Jolyn Toh,5,"Food fresh, staff friendly"
106,Shiow Chien Low,5,🫰🏻🫰🏻🫰🏻delicious😋😋😋
107,Chun Siang Chew,5,Great atmosphere and hospitality
108,Wei Ching,5,Sushi delicious
109,canus chiew,5,"Nice environment, good taste"
110,Alice Lei,5,The best in town! Highly recommended! Must try in Melaka.
111,Joann Chia,5,The food is delicious
112,Caden Tan,5,Good
113,Ju Ying Thye,5,The food is delicious and service is good.
114,vivian koh,5,"Nice food, good services😋"
115,Melissa Goh,5,Nice food and environment. Good service provided from staff.
116,Tan Stephanie,5,"Tasty & nice Japanese food with comfortable dining environment. Our menu meal is recommended by the friendly charming lady boss, we like the Hamachi sashimi, salmon belly fresh & nice,  unagi pizza taste very good. They served very delicious sushi like unagi Ebi tempura maki, awabi kaki maki and cheese salmon kaboca. We had mochi & ice cream treated as a birthday dessert by the lady boss. 🙏🙏🙏🥰🥰🥰"
117,Desmond Tan,5,Very nice service and foods was fresh as expectations..
118,WeiWen Chin,5,"The food is delicious
Service is very good"
119,Jafern Bong,5,Food is delicious and fresh
120,YU Han,5,"Nice food and nice service
Very delicious Japanese food"
121,Soon Wee Nee,5,The environment is very comfortable and the food is delicious. The waiters are very kind and polite. The price is favorable. It is a recommended Japanese restaurant.
122,Nicole Teo,5,"Good environment,nice food"
123,lee chaiyin,5,good service
124,蔡淑虹,5,It’s so delicious and the service is also very good ~ great
125,Adeline Lim,5,good service
126,Gerald Chua,5,Food is generously enough... Taste is good and very Valuable! Garlic Fried Rice is recommended and Salmon Cheese Sushi too!
127,CY. KEK,5,Nice Japanese food. Good service. Sushi is fresh. Fried rice (salmon garlic) is recommended. Preferably prepare dining utensils for grill chicken (a la carte).
128,Jane Pooe,5,Nice pizza
129,Christine MK,5,Nice environment and nice dining
130,Ong Chai Peng,5,Food portion is big and delicious. Child friendly as well.
131,Joyi_97,5,Good food 🥰
132,Jet Lee,5,The atmosphere and food are both good🙌🏻
133,yu ern tan,5,Food are delicious and the service are good
134,Kelvin Loh,5,"Very nice food and good service, always can see the smile on the waiters face. Food very delicious and fresh."
135,。。,5,"Delicious, big portions, air-conditioned, good environment"
136,Tai Chia Nee Joey,5,Good food and nice service
137,Estelle Wang,5,Food is very delicious and worth the price.
138,Stefan Tay,5,Nice and reasonable price ..
139,JiaSheng John,5,The food and environment are very good!
140,Sinyee Lai,5,Comfortable environment and delicious food
141,JOON HAN GOH,5,Good food and environment
142,Amber Tam,5,"Nice environment, friendly staff and delicious food. One of the best Japanese restaurants in Malacca. Would recommend ☺️"
143,Ong Rae Lynn,5,Nice food & service
144,zicadabra,5,"Love the chawan mushi and shake salmon!
⚠️ Recommended to make reservations."
145,Pat Law,5,Very nice food. Is fresh and tasty. Staffs are nice too. Will come back next time.
146,Tan Jie Ying,4,Food very nice and delicious. Environment is comfort. Service also good.
147,Caroline Ratnaike,5,Good service
148,li xue,5,The food is huge and delicious😋
149,陈慧玲,5,Delicious👍
150,Alvin Yong,1,"Japanese Buffet, but shahimi only available one time"
