number,name,rating,translated_text
75,Kom Kom,1,The staff would rather stand and chat together than come to serve. Some of the delicious sushi 🍣I don’t know if it has been left on the rotation for a long time. The fried shrimps are soft. Don’t expect anything else...Staff service seriously needs to be improved.
76,Nyit pang,1,"Very very bad service
Long waiting for take away even order advance
All staff just stand and like stupid not even follow up for the order"
77,Keong Kerk,2,Waiting for a seat for too long
78,zifeng aow,1,"From the time we opened the restaurant to now, the food has only gotten worse but not the worst. The waiter is sleepwalking and he has to wait 30 hours for a bottle of water. It must have started with making fried tea."
79,STEVEN TAY,5,Super delicious and has a first-class texture.The price is also super ideal 🉐💯🈵🥰
80,Ja'Mes Ang,4,There is always a queue at Sushi Mentai. But you don't have to wait long though. They staff are fast and efficient. Food is nice  and fresh as always. Price is cheap too. Worth every penny. They have recently renovated but I miss the yellow light previously. More cozy.
81,Wong,4,"Service fast and accurate
Japanese food varieties (according to the prices) and reasonable
Environment clean and tidy
Price reasonable"
82,hui zhang,1,Bad things are not clean
83,Francoise Argent,4,"Food is super cheap compared to other sushi places but the employees look so sad. Please do give them more pay and look after your employees more. They work very hard but I don’t see them being happy.

Quite clean place but very loud and noisy. The place is quite small and cramped also. Not the best place to eat if you want to have a peaceful meal."
84,Anis Safiee,3,no salmon.. 😢
85,Janet Lau,2,"I went there twice and didn’t get sashimi, and it was lunch time. I went to a sushi restaurant and there was no sashimi. I was disappointed."
86,Genzy Wong,1,"The food is okay, but it’s a pity that the boss’s character is not good. My mother’s driving seemed to have scratched the car of the Malay female clerk in the store next door, 99 Mart. He came out and made a loud noise. He also said not to think that Penang people are easy to bully, but he just wanted to help the Malay woman who was also making loud noises to my mother...Inexplicably, he said that he would go to the police station to mobilize CCTV to check, but he couldn't say anything...?"
87,LOO BAO JIE,3,"This shop imposed 10% service tax although the order has been made through customer own phone. Service by them is only get the food and beverge to you. Service is just similar to others common restaurant.  Should review the service tax lower than 10% instead! Food price served here is reasonable if compared with others sushi restaurant. Surrounding felt hot when we visit here, seems like no air cond feel. They know to impose 10% service tax but no service on their air cond maintenance!"
88,Janet CY,5,Many varieties
89,Tan Li Yen,5,"Sushi Mentai chawanmushi is really the most worthy, richest and most sincere thing I have ever eaten. I must order it every time I come here. I really don’t care if the sky falls or what happens. Please don’t let the chawanmushi go bad/degenerate/cut corners. I will really cry."
90,Lavigne Gue,5,Delicious as always~~
91,Clement Lim,3,Environment can be more clean overall food can improve quality.
92,gk gan,1,Very unpalatable
93,Mark Town,1,every time i come here theres no salmon sashimi🤦🏻‍♂️ cant believe a sushi shop don’t serve salmon especially during lunch
94,Calvin Kong,3,"As the only Sushi Mentai in MLK, no matter how the taste is, it always has people come and visit. #youknowyouknow 🍣😀"
